Grey_level,Brain_region,Abbr
1,Medial_octavolateral_nucleus,MON
2,Cerebellum,Cb
3,MO_stripe_1,MOS1
4,MO_stripe_2,MOS2
5,MO_stripe_3,MOS3
6,MO_stripe_4,MOS4
7,MO_stripe_5,MOS5
8,interpeduncular_nucleus,IPN
9,inferior_olive,IO
10,caudal_hypothalamus,Hc
11,Raphe_nucleus,Ra
12,Tegmentum,T
13,anterior_reticular_formation,aRF
14,intermediate_reticular_formation,imRF
15,posterior_reticular_formation,pRF
16,Glossopharyngeal_ganglion,GG
17,Habenula,Hb
18,intermediate_hypothalamus,Hi
19,rostral_hypothalamus,Hr
20,Octaval_ganglion,OG
21,Olfactory_bulb,OB
22,Olfactory_epithelium,OE
23,Pallium,P 
24,Pituitary,Pi
25,Posterior_teberculum,PT
26,preoptic_region,PO
27,pretectum,PrT
28,Retina,R 
29,subpallium,SP
30,tectum,TeO
31,Thalamus,Th
32,Torus_longitudinalis,TL
33,Torus_semicircularis,TS
34,Trigeminal_ganglion,TG
35,Vagal_region,VR
36,vagus_motor_neurons,NX
