Grey_level,Brain_region,Abbr,Hemisphere
1,Medial_octavolateral_nucleus,L_MON,L
2,Cerebellum,L_Cb,L
3,MO_stripe_1,L_MOS1,L
4,MO_stripe_2,L_MOS2,L
5,MO_stripe_3,L_MOS3,L
6,MO_stripe_4,L_MOS4,L
7,MO_stripe_5,L_MOS5,L
8,interpeduncular_nucleus,L_IPN,L
9,inferior_olive,L_IO,L
10,caudal_hypothalamus,L_Hc,L
11,Raphe_nucleus,L_Ra,L
12,Tegmentum,L_T,L
13,anterior_reticular_formation,L_aRF,L
14,intermediate_reticular_formation,L_imRF,L
15,posterior_reticular_formation,L_pRF,L
16,Glossopharyngeal_ganglion,L_GG,L
17,Habenula,L_Hb,L
18,intermediate_hypothalamus,L_Hi,L
19,rostral_hypothalamus,L_Hr,L
20,Octaval_ganglion,L_OG,L
21,Olfactory_bulb,L_OB,L
22,Olfactory_epithelium,L_OE,L
23,Pallium,L_P,L
24,Pituitary,L_Pi,L
25,Posterior_teberculum,L_PT,L
26,preoptic_region,L_PO,L
27,pretectum,L_PrT,L
28,Retina,L_R,L
29,subpallium,L_SP,L
30,tectum,L_TeO,L
31,Thalamus,L_Th,L
32,Torus_longitudinalis,L_TL,L
33,Torus_semicircularis,L_TS,L
34,Trigeminal_ganglion,L_TG,L
35,Vagal_region,L_VR,L
36,vagus_motor_neurons,L_NX,L
37,Medial_octavolateral_nucleus,R_MON,R
38,Cerebellum,R_Cb,R
39,MO_stripe_1,R_MOS1,R
40,MO_stripe_2,R_MOS2,R
41,MO_stripe_3,R_MOS3,R
42,MO_stripe_4,R_MOS4,R
43,MO_stripe_5,R_MOS5,R
44,interpeduncular_nucleus,R_IPN,R
45,inferior_olive,R_IO,R
46,caudal_hypothalamus,R_Hc,R
47,Raphe_nucleus,R_Ra,R
48,Tegmentum,R_T,R
49,anterior_reticular_formation,R_aRF,R
50,intermediate_reticular_formation,R_imRF,R
51,posterior_reticular_formation,R_pRF,R
52,Glossopharyngeal_ganglion,R_GG,R
53,Habenula,R_Hb,R
54,intermediate_hypothalamus,R_Hi,R
55,rostral_hypothalamus,R_Hr,R
56,Octaval_ganglion,R_OG,R
57,Olfactory_bulb,R_OB,R
58,Olfactory_epithelium,R_OE,R
59,Pallium,R_P,R
60,Pituitary,R_Pi,R
61,Posterior_teberculum,R_PT,R
62,preoptic_region,R_PO,R
63,pretectum,R_PrT,R
64,Retina,R_R,R
65,subpallium,R_SP,R
66,tectum,R_TeO,R
67,Thalamus,R_Th,R
68,Torus_longitudinalis,R_TL,R
69,Torus_semicircularis,R_TS,R
70,Trigeminal_ganglion,R_TG,R
71,Vagal_region,R_VR,R
72,vagus_motor_neurons,R_NX,R
