63.346,-100.82,87.547
-25.289,-86.642,88.801
63.691,-16.808,43.997
184.38,-22.719,69.624
-7.5033,-52.734,38.651
117.38,-52.91,74.098
123,-70.401,83.133
-78.765,-17.793,-40.126
204.19,-34.298,-3.7578
-47.064,-58.379,-83.749
16.588,-7.8639,-12.075
-122.67,-72.038,7.9962
-25.11,-73.347,-22.992
29.288,-60.251,-10.312
108.94,-48.032,-2.3672
-0.061848,-123.45,-127.04
-323.63,-60.566,66.291
-134.88,-75.06,-76.767
-198.99,-25.872,-100.77
20.673,-82.4,-64.885
-446.69,-49.291,-14.704
-467.49,-101.7,-40.047
-369.83,-51.996,15.414
-109.53,-11.546,-111.5
-218.82,-21.172,-43.273
-317.22,-25.291,-63.796
-236.36,-64.164,41.634
-323.26,-193.1,-72.025
-398.1,-28.642,-44.567
-150.9,-100.94,74.55
-255.76,-53.497,-0.39037
-244.52,-9.5525,106.74
-129,-160.23,-26.173
-117.76,-180.78,-69.133
228.67,-79.968,82.738
40.951,133.18,0.03699
64.262,99.494,86.921
-23.822,89.445,84.607
57.209,16.673,42.999
179.11,21.663,68.269
-10.217,48.31,36.437
112.1,53.234,70.538
121.6,69.995,80.339
-79.564,15.29,-40.516
204.18,30.7,-3.3978
-47.394,52.816,-85.544
1.6551,5.4689,-10.143
-122.67,72.844,5.0662
-27.546,68.728,-25.785
27.882,55.68,-12.813
107.69,43.384,-4.0717
3.7893,119.36,-129.43
-324.42,58.529,66.241
-138.04,70.946,-75.883
-193.55,22.162,-98.874
19.603,75.508,-66.265
-446.53,47.787,-18.164
-470.56,97.313,-45.631
-369.34,50.639,12.651
-110.28,10.412,-111.11
-222.16,17.712,-42.982
-317.52,23.042,-65.081
-237.52,63.771,39.625
-325.49,190.49,-74.287
-397.4,27.516,-47.794
-152.18,98.749,72.997
-256.24,49.756,-0.81776
-245.7,8.6142,104.99
-132.27,153.93,-28.113
-120.35,179.24,-70.403
219.14,82.384,79.577
215.07,40.215,84.77
